,LR,IOU
0,0.1_0.1,0.464039760911878
1,0.1_0.01,0.599118561213796
2,0.1_0.001,0.145598801392009
3,0.1_0.0001,0
4,0.1_0.00001,0.0817849776448427
5,0.01_0.1,0.637045817070709
6,0.01_0.01,0.435517610377306
7,0.01_0.001,0.515643289776366
8,0.01_0.0001,0.000140147186912499
9,0.01_0.00001,0
10,0.001_0.1,0.674036711841435
11,0.001_0.01,0.691153950763471
12,0.001_0.001,0.599185984210793
13,0.001_0.0001,0.598617749232234
14,0.001_0.00001,0.314500474608886
15,0.0001_0.1,0.629170264581065
16,0.0001_0.01,0.684335945488571
17,0.0001_0.001,0.699542869866152
18,0.0001_0.0001,0.671071043455756
19,0.0001_0.00001,0.543503804366181
20,0.00001_0.1,0.663418913493941
21,0.00001_0.01,0.6794388527736
22,0.00001_0.001,0.688675050224577
23,0.00001_0.0001,0.689983565634463
24,0.00001_0.00001,0.590771573123994
